,address,lat,lon
0,501 E LOCUST LONE PINE CA,36.6090539,-118.0578529
1,1460 ORANGE STREET COSHOCTON OH,40.2710019,-81.8477934
2,301 SPRING GARDEN ROAD ANCORA NJ,39.6859286,-74.8575207
3,1 HEALTHY WAY BERKLEY SPRINGS WV,39.6422944,-78.2005251
4,"3316 HIGHWAY 280, PO BOX 939 ALEXANDER CITY AL",32.9307483,-85.9701626
5,303 SANDY CORNER ROAD EL CAMPO TX,29.2193051,-96.2915027
6,"MAPLE STREET, PO BOX A MEDICAL LAKE WA",47.5728748,-117.6826803
7,10901 WORLD TRADE BLVD RALEIGH NC,35.9027533,-78.8157883
8,7800 OAKMONT BOULEVARD FORT WORTH TX,32.6656781,-97.42366179999999
9,263 FARMINGTON AVE FARMINGTON CT,41.7326397,-72.7913062
10,1405 NW CHURCH STREET LEON IA,40.7509899,-93.7468416
11,2620 WEST FAIDLEY AVE GRAND ISLAND NE,40.9258317,-98.37166069999999
12,4546 BROAD RIVER RD COLUMBIA SC,34.0683588,-81.11813769999999
13,N2950 STATE ROAD 67 LAKE GENEVA WI,42.5983466,-88.53991529999999
14,1007 GOODYEAR AVENUE GADSDEN AL,34.0074964,-85.9805311
15,119 OAKFIELD DR BRANDON FL,27.9335683,-82.28653539999999
16,2855 OLD HIGHWAY 5 NORTH BLUE RIDGE GA,34.9177348,-84.3743296
17,611 ALCORN DRIVE CORINTH MS,34.9361329,-88.5597023
18,1401 W CENTRAL PARK AVE DAVENPORT IA,41.543537,-90.59402759999999
19,760 BROADWAY BROOKLYN NY,40.7000538,-73.9417768
20,2990 LEGACY DRIVE FRISCO TX,33.1029444,-96.8403762
21,340 BAGLEY CIRCLE MARION VA,36.8331033,-81.511123
22,230 NORTH BROAD STREET PHILADELPHIA PA,39.9571832,-75.16291780000002
23,1600 E CLIFF DRIVE EL PASO TX,31.7766254,-106.4799317
24,501 S BUENA VISTA ST BURBANK CA,34.1572533,-118.3292851
25,100 SOUTH BLISS AVENUE TAHLEQUAH OK,35.9118499,-94.9502342
26,1325 COTTONWOOD STREET WOODLAND CA,38.6641007,-121.7920967
27,2600 65TH AVENUE OSCEOLA WI,45.3017383,-92.70056749999999
28,3700 WASHINGTON AVE EVANSVILLE IN,37.9644071,-87.5041081
29,801 E WILLIAMS AVE FALLON NV,39.4766121,-118.7662421
30,5410 WEST LOOP SOUTH BELLAIRE TX,29.7244009,-95.46115359999999
31,94 MAIN STREET CASSVILLE MO,36.6746656,-93.8722913
32,1087 DENNISON AVENUE COLUMBUS OH,39.984153,-83.00898649999999
33,444 BRUCE ST YREKA CA,41.7193201,-122.6456943
34,2400 W EDISON ST BRUSH CO,40.2556786,-103.6494746
35,404 SOUTH BRADLEY STREET WARREN AR,33.6103875,-92.05931199999999
36,700 HILBIG ROAD CONROE TX,30.33573969999999,-95.4449459
37,4075 OLD WESTERN ROW ROAD MASON OH,39.337002,-84.293532
38,137 BLOUNT AVENUE KNOXVILLE TN,35.955945,-83.915554
39,1530 PKWY GREENWOOD SC,34.1954001,-82.1617883
40,5620 CORTARO FARMS ROAD TUCSON AZ,32.3609653,-111.0852548
41,5602 SOUTHWEST LEE BOULEVARD LAWTON OK,34.5940499,-98.4625439
42,544 SOUTH 400 EAST (FLOOD ST) SAINT GEORGE UT,37.0987709,-113.57588
43,1700 MOUNT VERNON AVE BAKERSFIELD CA,35.3828699,-118.970257
44,50 UNION STREET ELLSWORTH ME,44.5470352,-68.41611859999999
45,1847 FLORIDA AVE PANAMA CITY FL,30.1819692,-85.6694535
46,1006 S JACKSON HUGOTON KS,37.1701582,-101.3494438
47,368 NE FRANKLIN ST LAKE CITY FL,30.1931542,-82.6324358
48,3801 NORTH LAMAR AUSTIN TX,30.3058537,-97.7410337
49,"809 WEST BRAMLEY, PO BOX 310 JETMORE KS",38.0833198,-99.9032967
50,1116 MILLIS AVE BOONVILLE IN,38.0418134,-87.26292099999999
51,821 N BROADWAY ASPERMONT TX,33.1478433,-100.2278582
