,address,coordinates
0,"130 W Kingsbridge Rd, Bronx, NY 10468, USA","40.86734866,-73.90638209"
1,"501 Morris St, Charleston, WV 25301, USA","38.34792179,-81.62719975"
2,"1110 7th Ave, Cumberland, WI 54829, USA","45.53084997,-92.02858962"
3,"5601 Plum Creek Dr, Amarillo, TX 79124, USA","35.218499,-101.9022048"
4,"32629 MO-72, Salem, MO 65560, USA","37.66045595,-91.56935238"
5,"1343 N Fountain Blvd Ste 250, Springfield, OH 45504, USA","39.94097469,-83.81134186"
6,"504 Lipscomb St, Bonham, TX 75418, USA","33.57832798,-96.16664583"
7,"1301 Medical Center Dr Suite 1710, Nashville, TN 37232, USA","36.14083601,-86.8021667"
8,"520 W Main St, Smithville, TN 37166, USA","35.96150829,-85.82954345"
9,"8135 Goodman Rd, Olive Branch, MS 38654, USA","34.96098244,-89.8456803"
10,"1 Avenue N, Haskell, TX 79521, USA","33.15736151,-99.74468102"
11,"2209 John R Wooden Dr, Martinsville, IN 46151, USA","39.42589574,-86.404839"
12,"1102 W 32nd St, Joplin, MO 64804, USA","37.05273128,-94.52679809"
13,"2400 N Interstate 35 E Rd, Waxahachie, TX 75165, USA","32.42751892,-96.85791008"
14,"1340 Empire Central Dr, Dallas, TX 75247, USA","32.82592017,-96.86960835"
15,"6124 W Parker Rd #332, Plano, TX 75093, USA","33.04366355,-96.83647095"
16,"295A Midland Pkwy Ste 120, Summerville, SC 29485, USA","32.96587788,-80.15760709"
17,"5656 Kelley St, Houston, TX 77026, USA","29.81193328,-95.3118817"
18,"1401 Medical Pkwy, Cedar Park, TX 78613, USA","30.53236271,-97.81219095"
19,"1000 Walters St, Lake Charles, LA 70607, USA","30.18253778,-93.20809966"
20,"608 W Brown St, Waupun, WI 53963, USA","43.63165483,-88.74562167"
21,"1900 Hospital Boulevard, Gainesville, TX 76240, USA","33.64636264,-97.1627319"
22,"2022 N Hwy 75, Sherman, TX 75090, USA","33.65672268,-96.61390083"
23,"30 13th St, Havre, MT 59501, USA","48.53807731,-109.6858178"
24,"9330 Medical Plaza Dr, North Charleston, SC 29406, USA","32.9759625,-80.07307511"
25,"100 Mechanic Rd, Adak, AK 99546, USA","51.868005,-176.640263"
26,"1100 Constitution Ave, Meridian, MS 39301, USA","32.36843764,-88.69903542"
27,"211 H St W, Poplar, MT 59255, USA","48.11532759,-105.1928975"
28,"1115 Alaska St #114, West Plains, MO 65775, USA","36.73818795,-91.87458808"
29,"1905 TX-97, Jourdanton, TX 78064, USA","28.93298497,-98.5262851"
30,"200 Blossom St, Webster, TX 77598, USA","29.54477125,-95.12586399"
31,"107 Swift St, Refugio, TX 78377, USA","28.30679663,-97.27986117"
32,"5301 Cedar Ave, Philadelphia, PA 19143, USA","39.95169918,-75.22955434"
33,"1301 Wonder World Dr, San Marcos, TX 78666, USA","29.85248199,-97.94590394"
34,"136 Wilborn Ave, Ridgeville, SC 29472, USA","33.08533946,-80.29073136"
35,"18000 NE Union Hill Rd, Redmond, WA 98052, USA","47.6763133,-122.0991269"
36,"733 E Olympia Ave, Punta Gorda, FL 33950, USA","26.93944443,-82.04052614"
37,"3200 Pleasant Valley Rd, West Bend, WI 53095, USA","43.35575884,-88.19509696"
38,"1800 12th St # 1C, Meridian, MS 39301, USA","32.36961231,-88.6972544"
39,"3601 S 6th Ave, Tucson, AZ 85723, USA","32.1809812,-110.9645064"
40,"901 Heartland Rd, St Joseph, MO 64506, USA","39.77235362,-94.77059772"
41,"1753 S 68th St, West Allis, WI 53214, USA","43.01105323,-87.99720678"
42,"1560 Sumrall Rd, Columbia, MS 39429, USA","31.25599595,-89.8055791"
43,"1030 River Oaks Dr, Flowood, MS 39232, USA","32.32533746,-90.1054109"
44,"1040 Jefferson Ave, Memphis, TN 38104, USA","35.14352075,-90.02634368"
45,"262 Danny Thomas Pl, Memphis, TN 38105, USA","35.15421585,-90.04290223"
46,"1202 3rd St W, Roundup, MT 59072, USA","46.45371666,-108.5457052"
47,"121 Longview Drive, Torrance, PA 15779, USA","40.41484,-79.238243"
48,"1200 Carl Ramert Dr, Yoakum, TX 77995, USA","29.30695852,-97.12915909"
49,"14051 St Francis Blvd, Midlothian, VA 23114, USA","37.46669461,-77.65863951"
50,"608 Ave B, Ballinger, TX 76821, USA","31.74997292,-99.96290978"
51,"3813 Delmas Terrace, Culver City, CA 90232, USA","34.02341366,-118.3979472"
52,"3302 Gallows Rd, Annandale, VA 22042, USA","38.85788919,-77.23203453"
53,"315 Knapp St, Wolf Point, MT 59201, USA","48.10134887,-105.6419084"
54,"2226 Liliha St, Honolulu, HI 96817, USA","21.32867361,-157.8521328"
55,"4216 Old Hwy 31, Decatur, AL 35603, USA","34.5216167,-86.96702901"
56,"200 Veterans Ave, Beckley, WV 25801, USA","37.76496548,-81.19320077"
57,"3100 Avenue E, Hondo, TX 78861, USA","29.33462296,-99.13448254"
58,"2200 Market St, Charlestown, IN 47111, USA","38.47393774,-85.67003676"
59,"3443 Dickerson Pike Ste 680, Nashville, TN 37207, USA","36.24534093,-86.74961898"
60,"4500 13th St, Gulfport, MS 39501, USA","30.36741843,-89.11603598"
61,"600 N Main St, Mt Vernon, MO 65712, USA","37.1113917,-93.82112528"
62,"1306 Kanawha Blvd E, Charleston, WV 25301, USA","38.34335473,-81.63005402"
63,"779X+3CP, Cll I Martinez Gonzalez, Utuado, 00641, Puerto Rico","18.26776881,-66.70133505"
64,"221 W Colorado Blvd # 730, Dallas, TX 75208, USA","32.76037381,-96.82602355"
65,"1898 Fort Rd, Sheridan, WY 82801, USA","44.82737773,-106.9857364"
66,"4708 Alliance Blvd #475, Plano, TX 75093, USA","33.01352063,-96.79205068"
67,"Medical City Hospital-Building A, 7777 Forest Ln, Dallas, TX 75230, USA","32.91193288,-96.77407387"
68,"15000 Arnold Dr, Eldridge, CA 95431, USA","38.34717995,-122.5186989"
69,"55 Basin Creek Rd, Butte, MT 59701, USA","45.933282,-112.510929"
70,"2018 Clinch Ave, Knoxville, TN 37916, USA","35.95628817,-83.93767478"
71,"10 Prospect St STE 202, Nashua, NH 03060, USA","42.75666902,-71.46082865"
72,"5110 W Sahara Ave, Las Vegas, NV 89146, USA","36.14549204,-115.2118665"
73,"8075 Shadeland Ave, Indianapolis, IN 46250, USA","39.90182884,-86.04468184"
74,"202 High St, Tecumseh, NE 68450, USA","40.37967562,-96.19702289"
75,"2 Crescent Park, Warren, PA 16365, USA","41.843328,-79.15461"
76,"W48J+43 Farmers Branch, TX, USA","32.91526053,-96.86979587"
77,"100 Hoylman Dr, Gassaway, WV 26624, USA","38.66115929,-80.74860807"
78,"2090 Wallum Lake Rd, Pascoag, RI 02859, USA","41.99725365,-71.76246104"
79,"40 Park Rd, Westbrook, ME 04092, USA","43.68788545,-70.3569291"
80,"2600 SW Holden St, Seattle, WA 98126, USA","47.53407121,-122.3661718"
